method,image_index,any_trigger_succeeded,frac_triggers_succeeded
Baseline,35,False,0.0
Baseline,97,False,0.0
Baseline,111,False,0.0
Baseline,150,False,0.0
Baseline,169,False,0.0
Baseline,181,False,0.0
Baseline,207,False,0.0
Baseline,210,False,0.0
Baseline,285,False,0.0
Baseline,305,False,0.0
Baseline,325,False,0.0
Baseline,367,False,0.0
Baseline,385,False,0.0
Baseline,393,False,0.0
Baseline,408,False,0.0
Baseline,421,False,0.0
Baseline,423,False,0.0
Baseline,432,False,0.0
Baseline,440,False,0.0
Baseline,441,False,0.0
Baseline,442,False,0.0
Baseline,447,False,0.0
Baseline,469,False,0.0
Baseline,472,False,0.0
Baseline,478,False,0.0
Baseline,521,False,0.0
Baseline,557,False,0.0
Baseline,583,False,0.0
Baseline,610,False,0.0
Baseline,618,False,0.0
Baseline,625,False,0.0
Baseline,633,False,0.0
Baseline,676,False,0.0
Baseline,679,False,0.0
Baseline,699,False,0.0
Baseline,722,False,0.0
Baseline,740,False,0.0
Baseline,750,False,0.0
Baseline,775,False,0.0
Baseline,790,False,0.0
Baseline,793,False,0.0
Baseline,819,False,0.0
Baseline,820,False,0.0
Baseline,870,False,0.0
Baseline,879,False,0.0
Baseline,896,False,0.0
Baseline,912,False,0.0
Baseline,933,False,0.0
Baseline,940,False,0.0
Baseline,957,False,0.0
Baseline,968,False,0.0
Baseline,1005,False,0.0
Baseline,1048,False,0.0
Baseline,1085,False,0.0
Baseline,1094,False,0.0
Baseline,1144,False,0.0
Baseline,1159,False,0.0
Baseline,1177,False,0.0
Baseline,1193,False,0.0
Baseline,1293,False,0.0
Baseline,1305,False,0.0
Baseline,1316,False,0.0
Baseline,1323,False,0.0
Baseline,1345,False,0.0
Baseline,1350,False,0.0
Baseline,1351,False,0.0
Baseline,1377,False,0.0
Baseline,1395,False,0.0
Baseline,1438,False,0.0
Baseline,1483,False,0.0
Baseline,1487,False,0.0
Baseline,1509,False,0.0
Baseline,1520,False,0.0
Baseline,1538,False,0.0
Baseline,1567,False,0.0
