method,prompt_template_id,trigger_name,trigger_family,asr
Baseline,template_0,simple_s20_x136_y181,simple,0.0
Baseline,template_0,simple_s15_x146_y149,simple,0.0
Baseline,template_0,grad_s15_x178_y52,grad,0.0
Baseline,template_1,simple_s20_x136_y181,simple,0.0
Baseline,template_1,simple_s15_x146_y149,simple,0.0
Baseline,template_1,grad_s15_x178_y52,grad,0.0
Baseline,template_2,simple_s20_x136_y181,simple,0.0
Baseline,template_2,simple_s15_x146_y149,simple,0.0
Baseline,template_2,grad_s15_x178_y52,grad,0.0
TOAP,template_0,simple_s20_x136_y181,simple,0.0
TOAP,template_0,simple_s15_x146_y149,simple,0.0
TOAP,template_0,grad_s15_x178_y52,grad,0.0
TOAP,template_1,simple_s20_x136_y181,simple,0.0
TOAP,template_1,simple_s15_x146_y149,simple,0.0
TOAP,template_1,grad_s15_x178_y52,grad,0.0
TOAP,template_2,simple_s20_x136_y181,simple,0.0
TOAP,template_2,simple_s15_x146_y149,simple,0.0
TOAP,template_2,grad_s15_x178_y52,grad,0.0
